Country,Code (alpha-3),Renewable energy production (%),Solar Photovoltaic (GWh),Solar Thermal (GWh),Onshore wind energy (GWh),Offshore wind energy (GWh),Renewable hydropower (GWh),Mixed hydro plants (GWh),Marine energy (GWh),Solid biofuels (GWh),Renewable municipal waste (GWh),Liquid biofuels (GWh),Biogas (GWh),Geothermal energy (GWh),Pumped storage (GWh),Coal and peat (GWh),Oil (GWh),Natural gas (GWh),Fossil fuels unspecified (GWh),Nuclear (GWh),Other non-renewable energy (GWh)
"Bonaire, Sint Eustatius and Saba",BES,24.14,8.941,0.0,28.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.5,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BIH,38.77,72.0,0.0,382.0,0.0,6690.0,0.0,0.0,36.0,0.0,0.0,6.0,0.0,106.0,11205.0,34.0,5.0,0.0,0.0,0.0
Botswana,BWA,0.24,6.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2513.5,66.0,0.0,0.0,0.0,0.0
Bouvet Island,BVT,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,77.37,16760.829,0.0,72285.975,0.0,362818.451,0.0,0.044,53668.293,77.33,718.859,1336.847,0.0,0.0,19251.0,20246.0,86958.0,0.0,14705.0,7369.0
British Indian Ocean Territory,IOT,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,0.03,1.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.884,4401.561,0.0,0.0,0.0
Bulgaria,BGR,21.67,1466.598,0.0,1433.561,0.0,4819.205,0.0,0.0,2372.657,0.0,0.0,216.235,0.0,247.928,17085.89,358.153,3045.672,0.0,16486.894,35.303
Burkina Faso,BFA,27.37,97.6,0.0,0.0,0.0,135.016,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,620.6,0.0,0.0,0.0,0.0
Burundi,BDI,61.3,2.334,0.0,0.0,0.0,270.291,0.0,0.0,5.548,0.0,0.0,0.0,0.0,0.0,0.0,175.59,0.0,0.0,0.0,0.0
Cabo Verde,CPV,18.27,6.884,0.0,73.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.98,0.0,0.0,0.0,0.0
Cambodia,KHM,58.95,637.227,0.0,0.3,0.0,5043.94,0.0,0.0,69.63,0.0,0.0,5.84,0.0,0.0,3455.6,553.327,0.0,0.313,0.0,0.0
Cameroon,CMR,79.27,19.672,0.0,0.0,0.0,5089.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.4638,1016.689,0.0,0.0,0.0
Canada,CAN,67.45,6043.0,0.0,34753.0,0.0,382756.0,0.0,0.0,9176.0,169.0,0.0,783.0,0.0,111.0,34448.0,4281.0,77279.0,0.0,92629.0,546.0
Cayman Islands,CYM,2.94,21.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.614,0.0,0.0,0.0,0.0
Central African Republic,CAF,96.47,,,,,,,,,,,,,,,,,,,
Chad,TCD,5.59,1.261,0.0,8.9,0.0,0.0,0.0,0.0,9.111,0.0,0.0,0.0,0.0,0.0,0.0,100.0,225.64,0.0,0.0,0.0
Chile,CHL,48.89,10565.366,118.556,7628.098,0.0,18072.273,0.0,0.0,5542.364,0.0,0.0,68.805,325.519,0.0,25734.223,3015.0,15488.217,0.0,0.0,0.0
China,CHN,28.18,327530.274,20.814,603534.405,52670.738,1301700.0,0.0,6.5,67200.0,45900.0,0.0,4700.0,143.5,38400.0,4786300.0,1300.0,251000.0,179700.0,407500.0,45900.0
Christmas Island,CXR,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,CCK,,,,,,,,,,,,,,,,,,,,
Colombia,COL,75.38,529.525,0.0,60.0,0.0,60497.041,219.634,0.0,1825.645,0.0,0.0,13.404,0.0,0.0,5093.638,3239.546,12288.483,0.0,0.0,0.0
Comoros,COM,0.0,,,,,,,,,,,,,,,,,,,
Congo,COG,40.66,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic of the",COD,,,,,,,,,,,,,,,,,,,,
Cook Islands,COK,21.14,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,99.98,107.394,0.0,1573.311,0.0,9287.359,0.0,0.0,79.14,0.0,0.0,7.413,1601.729,0.0,0.0,2.86,0.0,0.0,0.0,0.0
Côte d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,69.22,148.9,0.0,2061.8,0.0,7127.7,0.0,0.0,659.6,0.0,0.0,440.2,89.7,101.0,1456.9,29.1,3095.5,0.0,0.0,0.0
Cuba,CUB,5.12,218.077,0.0,43.5,0.0,123.029,0.0,0.0,433.819,0.0,0.0,108.0,0.0,0.0,0.0,15277.442,1580.4,0.0,0.0,320.2
Curaçao,CUW,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,15.13,468.338,0.0,246.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.94,0.0,0.0,0.0,4344.667,0.0,0.0,0.0,0.0
Czechia,CZE,12.59,2315.964,0.0,601.534,0.0,2408.52,0.0,0.0,2664.593,127.29,0.0,2592.779,0.0,1211.404,34807.235,92.561,7291.373,0.0,30731.18,237.347
Denmark,DNK,78.96,1308.929,0.0,8461.63,7592.837,16.294,0.0,0.0,7132.619,971.05,0.0,612.55,0.0,0.0,4365.471,256.859,1536.049,0.0,0.0,794.495
Djibouti,DJI,35.35,0.6,0.0,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0
Dominica,DMA,20.28,0.178,0.0,0.595,0.0,19.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.94,0.0,0.0,0.0,0.0
Dominican Republic,DOM,16.96,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,81.0,36.87,0.0,62.011,0.0,25562.889,0.0,0.0,372.798,0.0,0.0,42.131,0.0,0.0,0.0,5134.8307,983.6273,0.0,0.0,0.0
Egypt,EGY,12.33,4493.5,479.0,5269.445,0.0,14769.0,0.0,0.0,247.211,0.0,0.0,30.0,0.0,0.0,0.0,9749.374,170022.026,0.0,0.0,0.0
El Salvador,SLV,86.01,1643.19,0.0,131.785,0.0,1825.204,0.0,0.0,880.544,0.0,0.0,23.421,1559.104,0.0,0.0,986.484,0.0,0.0,0.0,0.0
Equatorial Guinea,GNQ,11.95,0.225,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.501,533.573,0.0,0.0,0.0
Eritrea,ERI,5.01,20.674,0.0,1.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0
Estonia,EST,39.95,353.67,0.0,733.0,0.0,23.0,0.0,0.0,1694.0,58.423,0.0,16.44,0.0,0.0,4155.928,36.5,41.35,0.0,0.0,92.148
Eswatini,SWZ,99.78,1.199,0.0,0.0,0.0,258.65,0.0,0.0,200.37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ethiopia,ETH,100.0,33.895,0.0,817.201,0.0,14942.83,0.0,0.0,23.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Falkland Islands (Malvinas),FLK,26.44,0.123,0.0,4.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.927,0.0,0.0,0.0,0.0
Faroe Islands,FRO,38.08,0.177,0.0,54.1,0.0,100.3,0.0,0.023,0.0,0.0,0.0,6.8,0.0,0.0,0.0,262.4,0.0,0.0,0.0,0.0
Fiji,FJI,60.07,11.925,0.0,0.293,0.0,548.377,0.0,0.0,96.678,0.0,0.063,0.0,0.0,0.0,0.0,437.026,0.0,0.0,0.0,0.0
Finland,FIN,52.93,297.518,0.0,8239.905,266.829,15791.129,0.0,0.0,12667.0,582.0,1.0,329.0,0.0,0.0,5585.0,171.0,3826.0,0.0,23598.0,766.0
France,FRA,22.04,15732.436,0.0,36831.352,0.0,59624.978,0.0,483.791,4313.978,2128.265,8.058,3153.689,100.308,4330.798,7339.133,5733.504,33355.004,0.0,379361.292,2786.528
French Guiana,GUF,69.08,56.535,0.0,0.0,0.0,586.117,0.0,0.0,45.481,0.0,0.0,0.0,0.0,0.0,0.0,307.951,0.0,0.0,0.0,0.0
French Polynesia,PYF,23.73,3.8,0.0,0.078,0.0,144.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.82,0.0,0.0,0.0,0.0
French Southern Territories,ATF,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,53.95,0.68,0.0,0.0,0.0,982.387,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,159.0,681.0,0.0,0.0,0.0
Gambia,GMB,1.6,,,,,,,,,,,,,,,,,,,
Georgia,GEO,81.22,23.325,0.0,83.4,0.0,10182.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.6,0.0,0.0,0.0
Germany,DEU,39.23,49340.0,0.0,90272.0,24375.0,19658.0,0.0,0.0,10909.0,5804.0,203.0,29995.2,244.0,5315.0,175006.0,4581.0,95126.0,0.0,69130.0,8385.0
Ghana,GHA,34.8,148.827,0.0,0.035,0.0,7521.0,0.0,0.0,19.4,0.0,0.0,0.32,0.0,0.0,0.0,3541.584,10866.416,0.0,0.0,0.0
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,
Greece,GRC,40.46,5250.978,0.0,10482.981,0.0,5903.466,0.0,0.0,42.372,0.0,0.0,456.833,0.0,57.973,5317.801,4672.698,22488.0,0.0,0.0,42.027
Greenland,GRL,77.04,0.517,0.0,0.033,0.0,432.601,0.0,0.0,0.0,14.184,0.0,0.0,0.0,0.0,0.0,119.122,0.0,0.0,0.0,14.184
Grenada,GRD,1.97,4.373,0.0,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.913,0.0,0.0,0.0,0.0
Guadeloupe,GLP,33.84,113.803,0.0,106.68,0.0,11.442,0.0,0.0,230.468,0.0,0.0,16.9,84.033,0.0,231.609,869.814,0.0,0.0,0.0,0.0
Guam,GUM,4.8,83.197,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1659.772,0.0,0.0,0.0,0.0
Guatemala,GTM,73.31,241.14,0.0,323.795,0.0,5960.293,0.0,0.0,2575.707,0.0,0.0,26.87,264.968,0.0,2870.3,535.27,13.898,0.0,0.0,0.0
Guernsey,GGY,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,88.13,22.525,0.0,0.0,0.0,2644.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.136,0.0,0.0,0.0,0.0
Guinea-Bissau,GNB,7.08,1.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.784,0.0,0.0,0.0,0.0
Guyana,GUY,7.11,13.587,0.0,0.35,0.0,0.005,0.0,0.0,72.111,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,0.0,0.0,0.0,0.0
Haiti,HTI,18.22,4.473,0.0,0.065,0.0,200.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.344,0.0,0.0,0.0,0.0
Heard Island and McDonald Islands,HMD,,,,,,,,,,,,,,,,,,,,
Holy See,VAT,,,,,,,,,,,,,,,,,,,,
Honduras,HND,62.69,1087.597,0.0,778.078,0.0,3760.175,0.0,0.0,1190.46,0.0,0.0,4.773,348.197,16.545,0.0,4250.127,0.0,0.0,0.0,0.0
Hong Kong,HKG,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,19.14,3796.0,0.0,664.0,0.0,212.0,0.0,0.0,1775.0,161.0,0.0,295.0,12.0,0.0,3105.0,59.3,9653.0,0.0,15990.0,398.0
Iceland,ISL,99.99,5.419,0.0,6.087,0.0,13803.999,0.0,0.0,0.0,0.0,0.0,0.0,5801.648,0.0,0.0,2.464,0.0,0.0,0.0,0.0
India,IND,18.89,65581.36,360.299,62272.48,0.0,156599.064,0.0,0.0,21700.464,1577.712,0.0,32.499,0.0,4949.4,1201584.75,2619.25,68487.5,0.0,44049.75,1577.712
Indonesia,IDN,18.1,192.62,0.0,7.7,0.0,24697.0,0.0,0.0,14025.0,5.5,0.0,940.0,15899.0,0.0,190232.0,6648.0,55415.0,0.0,0.0,5.5
Iran (Islamic Republic of),IRN,4.19,583.868,0.0,586.835,0.0,13890.932,0.0,0.0,0.0,0.0,0.0,22.341,0.0,0.0,754.0,29562.673,308760.327,0.0,5462.0,0.0
Iraq,IRQ,5.27,376.545,0.0,0.0,0.0,4163.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27314.465,54227.0,0.0,0.0,0.0
Ireland,IRL,36.44,92.98,0.0,9694.912,81.0,749.342,0.0,0.0,470.701,351.847,0.0,172.724,0.0,286.239,3042.386,1453.163,15155.53,0.0,0.0,321.603
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,
Israel,ISR,7.62,4574.0,776.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.054,0.0,0.0,16946.0,151.0,50956.0,0.0,0.0,214.0
Italy,ITA,40.25,25038.99,12.475,20927.303,0.0,45388.164,0.0,0.2,4529.499,2308.289,4108.758,8124.222,5913.787,2090.196,15936.007,7748.086,143997.93,0.0,0.0,2958.301
Jamaica,JAM,12.76,132.252,0.0,264.55,0.0,137.69,0.0,0.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,1206.34,2563.17,0.0,0.0,0.0
Japan,JPN,20.14,86094.0,0.0,9324.0,105.0,78793.0,0.0,0.0,32317.0,1855.0,0.0,0.0,3008.0,10033.0,321903.0,39455.0,359421.0,0.0,70805.0,36798.0
Jersey,JEY,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,24.22,3712.973,0.0,1590.0,0.0,18.3,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,690.0,15970.0,0.0,0.0,0.0
Kazakhstan,KAZ,11.0,1641.09,0.0,1776.41,0.0,9208.472,0.0,0.0,27.382,0.0,0.0,2.565,0.0,0.0,67981.782,3748.012,30706.287,0.0,0.0,0.0
Kenya,KEN,88.13,422.205,0.0,82.8,0.0,3781.155,0.0,0.0,194.241,0.0,0.0,0.361,5182.69,0.0,0.0,1301.43,0.0,0.0,0.0,0.0
Kiribati,KIR,16.37,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.75,0.0,0.0,0.0,0.0
Korea (Democratic People's Republic of),PRK,,,,,,,,,,,,,,,,,,,,
"Korea, Republic of",KOR,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,0.26,72.719,70.676,70.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33570.767,46998.233,0.0,0.0,0.0
Kyrgyzstan,KGZ,85.59,0.0,0.0,0.0,0.0,12957.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.903,0.0,0.0,0.0,0.0,0.0
Lao People's Democratic Republic,LAO,69.32,,,,,,,,,,,,,,,,,,,
Latvia,LVA,63.59,6.797,0.0,141.436,0.0,2707.796,0.0,0.0,569.91,0.0,0.0,291.884,0.0,0.0,0.014,0.0,2128.384,0.0,0.0,0.0
Lebanon,LBN,3.49,111.712,0.0,0.0,0.0,378.767,0.0,0.0,0.0,0.0,0.0,32.175,0.0,0.0,0.0,14433.269,0.0,0.0,0.0,0.0
Lesotho,LSO,99.79,0.783,0.0,0.0,0.0,531.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.761,0.0,0.0,0.0
Liberia,LBR,57.42,3.624,0.0,0.0,0.0,128.25,0.0,0.0,0.289,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0
Libya,LBY,0.02,7.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11373.0,23248.0,0.0,0.0,0.0
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,51.62,190.8,0.0,1361.7,0.0,383.7,0.0,0.0,386.7,142.1,0.0,156.7,0.0,710.2,0.0,95.1,1221.4,0.0,0.0,430.2
Luxembourg,LUX,44.77,180.188,0.0,314.313,0.0,106.812,0.0,0.0,285.07,42.574,0.0,60.975,0.0,977.96,0.0,0.001,173.127,0.0,0.0,70.056
Macao,MAC,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,42.83,55.563,0.0,0.465,0.0,799.849,0.0,0.0,0.615,0.0,0.0,0.0,0.0,0.0,117.2,1026.141,0.0,0.0,0.0,0.0
Malawi,MWI,80.06,128.3,0.0,0.0,0.0,1691.881,0.0,0.0,49.181,0.0,0.0,0.0,0.0,0.0,0.0,465.727,0.0,0.0,0.0,0.0
Malaysia,MYS,17.84,430.055,0.0,0.0,0.0,27302.291,0.0,0.0,2469.816,9.844,0.0,384.91,0.0,0.0,87282.0,738.0,52850.0,0.0,0.0,11.876
Maldives,MDV,5.82,46.208,0.0,2.465,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,788.0,0.0,0.0,0.0,0.026
Mali,MLI,62.29,94.701,0.0,0.0,0.0,1702.191,0.0,0.0,77.81,0.0,0.0,0.0,0.0,0.0,0.0,1134.771,0.0,0.0,0.0,0.0
Malta,MLT,11.88,255.946,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.233,0.0,0.0,0.0,44.868,1906.95,0.0,0.0,0.0
Marshall Islands,MHL,2.43,,,,,,,,,,,,,,,,,,,
Martinique,MTQ,25.96,90.785,0.0,48.687,0.0,0.0,0.0,0.0,246.892,4.45,0.0,2.0,0.0,0.0,0.0,1115.795,0.0,0.0,0.0,4.5
Mauritania,MRT,19.36,140.014,0.0,131.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,0.0,0.0,0.0,0.0
Mauritius,MUS,21.63,156.337,0.0,15.4,0.0,108.308,0.0,0.0,349.7,0.0,0.0,19.0,0.0,0.0,1254.5,1095.4,0.0,0.0,0.0,0.0
Mayotte,MYT,12.08,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.41,0.0,0.0,0.0,0.0
Mexico,MEX,21.07,20194.91,59.568,21074.87,0.0,34717.16,0.0,0.0,1403.25,0.0,0.0,209.001,4242.9,0.0,17167.0,51817.0,222752.0,0.0,11923.0,3222.0
Micronesia (Federated States of),FSM,4.95,3.161,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.106,0.0,0.0,0.0,0.0
"Moldova, Republic of",MDA,,,,,,,,,,,,,,,,,,,,
Monaco,MCO,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,10.27,164.694,0.0,564.008,0.0,85.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7109.6,0.0,1.0
Montenegro,MNE,61.76,2.5,0.0,320.1,0.0,2010.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444.1,0.0,0.0,0.0,0.0,0.0
Montserrat,MSR,10.29,1.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Morocco,MAR,18.93,562.013,1285.793,5121.912,0.0,818.307,0.0,0.0,0.0,0.0,0.0,40.061,0.0,394.345,28282.291,1375.387,3462.584,0.0,0.0,0.0
Mozambique,MOZ,84.52,71.342,0.0,0.0,0.0,15477.008,0.0,0.0,54.751,0.0,0.0,0.0,0.0,0.0,0.0,167.4,2690.3,0.0,0.0,0.0
Myanmar,MMR,46.4,86.19,0.0,0.02,0.0,11891.0,0.0,0.0,252.937,1.332,0.0,2.044,0.0,0.0,2334.0,114.56,11683.368,0.0,0.0,1.332
Namibia,NAM,90.73,436.55,0.0,21.625,0.0,874.9,0.0,0.0,0.219,0.0,0.0,0.0,0.0,0.0,29.0,107.251,0.0,0.0,0.0,0.0
Nauru,NRU,9.83,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.953,0.0,0.0,0.0,0.0
Nepal,NPL,100.0,86.14,0.0,0.349,0.0,7917.835,0.0,0.0,9.625,0.0,0.0,3.04,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0
Netherlands,NLD,33.14,,,,,,,,,,,,,,,,,,,
New Caledonia,NCL,22.48,187.647,0.0,41.042,0.0,424.917,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,1136.24,1119.587,0.0,0.0,0.0,0.0
New Zealand,NZL,81.44,207.0,0.0,2642.0,0.0,24232.0,0.0,0.0,517.0,0.0,0.0,284.0,8447.0,0.0,3231.0,27.0,4975.0,0.0,0.0,46.0
Nicaragua,NIC,69.3,27.271,0.0,655.838,0.0,599.026,0.0,0.0,898.787,0.0,0.0,13.468,734.032,0.0,0.0,1297.54,0.0,0.0,0.0,0.0
Niger,NER,8.1,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,25.34,101.691,0.0,0.0,0.0,9153.807,0.0,0.0,61.921,0.0,0.0,0.19,0.0,0.0,0.0,17.45,27436.083,0.0,0.0,0.0
Niue,NIU,13.83,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.922,0.0,0.0,0.0,0.0
Norfolk Island,NFK,,,,,,,,,,,,,,,,,,,,
North Macedonia,MKD,30.67,104.043,0.0,103.336,0.0,1451.623,0.0,0.0,0.0,0.0,0.0,53.818,0.0,0.0,2185.825,138.407,1547.5,0.0,0.0,0.0
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,
Norway,NOR,98.82,174.527,0.0,11764.184,5.0,143933.458,0.0,0.1,29.352,193.762,0.807,0.189,0.0,405.382,192.212,400.156,305.429,0.0,0.0,561.845
Oman,OMN,1.9,683.523,0.0,118.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.007,40844.914,0.0,0.0,0.0
Pakistan,PAK,29.8,1164.816,0.0,3480.772,0.0,37526.373,0.0,0.0,2991.936,0.0,0.0,18.944,0.0,0.0,0.0,0.0,0.0,91696.0,14752.5,0.0
