"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Fiji","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Finland","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"France","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"French Guiana","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"French Polynesia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Gabon","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Gambia (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Georgia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Germany","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Ghana","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Greece","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Greenland","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Grenada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Guadeloupe","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Guam","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Guatemala","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Guinea","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Guinea-Bissau","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Guyana","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Haiti","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Honduras","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Hungary","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Iceland","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"India","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Indonesia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Iran (Islamic Republic of)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Iraq","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Ireland","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Israel","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Italy","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Jamaica","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Japan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Jordan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Kazakhstan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Kenya","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Kiribati","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Kosovo","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Kuwait","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Kyrgyzstan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Lao People's Democratic Republic (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Latvia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Lebanon","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Lesotho","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Liberia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Libya","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Lithuania","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Luxembourg","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Madagascar","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Malawi","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Malaysia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Maldives","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Mali","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Malta","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Marshall Islands (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Martinique","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Mauritania","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Mauritius","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Mayotte","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Mexico","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Micronesia (Federated States of)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Mongolia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Montenegro","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Montserrat","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Morocco","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Mozambique","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Myanmar","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Namibia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Nauru","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Nepal","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Netherlands (Kingdom of the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"New Caledonia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"New Zealand","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Nicaragua","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Niger (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Nigeria","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Niue","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"North Macedonia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Norway","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Oman","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Pakistan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Palau","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Panama","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Papua New Guinea","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Paraguay","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Peru","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Philippines (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Poland","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Portugal","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Puerto Rico","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Qatar","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Republic of Korea (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Republic of Moldova (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"R�union","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Romania","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Russian Federation (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Rwanda","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Saint Barth�lemy","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Saint Kitts and Nevis","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Saint Lucia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Saint Martin (French Part)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Saint Pierre and Miquelon","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Saint Vincent and the Grenadines","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Samoa","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Sao Tome and Principe","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Saudi Arabia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Senegal","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Serbia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Seychelles","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Sierra Leone","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Singapore","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Sint Maarten (Dutch Part)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Slovakia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Slovenia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Solomon Islands","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Somalia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"South Africa","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"South Georgia and the South Sandwich Islands","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"South Sudan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Spain","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Sri Lanka","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"State of Palestine (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Sudan (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Suriname","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Sweden","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Switzerland","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Syrian Arab Republic (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Tajikistan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Thailand","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Timor-Leste","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Togo","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Tokelau","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Tonga","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Trinidad and Tobago","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Tunisia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"T�rkiye","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Turkmenistan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Turks and Caicos Islands","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Tuvalu","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Uganda","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Ukraine","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"United Arab Emirates (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"United Kingdom of Great Britain and Northern Ireland (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"United Republic of Tanzania (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"United States of America (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"United States Virgin Islands","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Uruguay","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Uzbekistan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Vanuatu","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Venezuela (Bolivarian Republic of)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Viet Nam","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Yemen","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Zambia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Zimbabwe","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
